"x"
"1"	"TV"
"2"	"Wireless Internet"
"3"	"Air Conditioning"
"4"	"Kitchen"
"5"	"Free Parking on Premises"
"6"	"Heating"
"7"	"Family/Kid Friendly"
"8"	"Washer"
"9"	"Dryer"
"10"	"Smoke Detector"
"11"	"Carbon Monoxide Detector"
"12"	"Safety Card"
"13"	"Essentials"
"14"	"24-Hour Check-in"
"15"	"Hangers"
"16"	"Hair Dryer"
"17"	"Iron"
"18"	"Laptop Friendly Workspace"
"19"	"Buzzer/Wireless Intercom"
"20"	"Shampoo"
"21"	"Cable TV"
"22"	"Internet"
"23"	"First Aid Kit"
"24"	"Fire Extinguisher"
"25"	"Indoor Fireplace"
"26"	"Pets Allowed"
"27"	"Gym"
"28"	"Breakfast"
"29"	"Pets live on this property"
"30"	"Cat(s)"
"31"	"Lock on Bedroom Door"
"32"	"Dog(s)"
"33"	"Elevator in Building"
"34"	"translation missing: en.hosting_amenity_49"
"35"	"translation missing: en.hosting_amenity_50"
"36"	"Wheelchair Accessible"
"37"	"Hot Tub"
"38"	"Suitable for Events"
"39"	"Smoking Allowed"
"40"	"Pool"
"41"	"Doorman"
"42"	"Other pet(s)"
"43"	"Washer / Dryer"
