listing_id,fr_num_reviews,fr_first_review_date,fr_last_review_date,fr_num_different_places,lr_num_reviews,lr_first_review_date,lr_last_review_date,lr_num_different_places,avg_reviewer_num_reviews,avg_reviewer_num_places,num_repeat_visits,num_repeat_visitors,max_num_repeat_visits
105,1,2008-10-06,2008-10-06,1,1,2013-10-21,2013-10-21,1,1.12820512820513,1.12820512820513,0,0,1
2515,3,2008-10-13,2015-12-31,3,1,2015-11-29,2015-11-29,1,1.21774193548387,1.21774193548387,0,0,1
2534,1,2015-12-06,2015-12-06,1,1,2015-12-06,2015-12-06,1,1,1,0,0,1
2539,3,2015-06-29,2015-12-04,3,3,2015-06-29,2015-12-04,3,3,3,0,0,1
2595,1,2009-11-21,2009-11-21,1,1,2015-09-28,2015-09-28,1,2.05263157894737,1.89473684210526,0,0,1
2684,2,2014-10-11,2014-10-14,2,1,2015-01-02,2015-01-02,1,1.25,1.25,0,0,1
2993,1,2014-05-29,2014-05-29,1,1,2014-06-08,2014-06-08,1,1,1,0,0,1
3330,1,2010-01-04,2010-01-04,1,1,2015-12-03,2015-12-03,1,1.73684210526316,1.73684210526316,0,0,1
3687,1,2009-10-11,2009-10-11,1,4,2011-11-19,2015-05-07,4,1.58333333333333,1.41666666666667,2,4,2
3831,1,2014-09-30,2014-09-30,1,1,2015-12-25,2015-12-25,1,1.40625,1.40625,0,0,1
4573,1,2009-06-29,2009-06-29,1,3,2014-10-24,2015-06-09,3,1.4,1.4,0,0,1
4611,1,2009-08-03,2009-08-03,1,1,2015-11-18,2015-11-18,1,3.63513513513514,3.2972972972973,2,4,2
4984,3,2009-03-05,2012-12-09,3,1,2012-04-08,2012-04-08,1,1.16666666666667,1.16666666666667,0,0,1
4989,1,2010-01-03,2010-01-03,1,1,2015-10-13,2015-10-13,1,1.35294117647059,1.35294117647059,0,0,1
5044,2,2012-03-02,2015-07-11,2,2,2014-12-15,2015-08-17,2,1.28571428571429,1.28571428571429,0,0,1
5079,1,2009-02-23,2009-02-23,1,1,2014-12-09,2014-12-09,1,1.3030303030303,1.23636363636364,5,10,2
5099,1,2009-04-20,2009-04-20,1,1,2015-10-20,2015-10-20,1,1.17307692307692,1.17307692307692,0,0,1
5107,2,2009-10-14,2011-04-25,1,1,2015-02-13,2015-02-13,1,1.4468085106383,1.40425531914894,1,2,2
5110,2,2009-05-04,2013-04-25,2,2,2015-01-24,2015-04-05,2,1.35483870967742,1.35483870967742,0,0,1
5121,5,2009-05-28,2015-08-01,5,2,2013-03-20,2015-11-01,2,1.58695652173913,1.47826086956522,2,4,2
5135,1,2009-03-30,2009-03-30,1,1,2015-05-01,2015-05-01,1,1.38135593220339,1.36440677966102,2,4,2
5172,1,2009-04-07,2009-04-07,1,1,2015-07-15,2015-07-15,1,1.30952380952381,1.30952380952381,0,0,1
5178,2,2009-05-06,2014-11-26,2,3,2015-12-09,2015-12-28,3,2.18867924528302,2.04905660377359,4,7,3
5203,1,2009-09-07,2009-09-07,1,1,2014-12-16,2014-12-16,1,2.96969696969697,1.8989898989899,13,18,8
5216,1,2009-04-21,2009-04-21,1,1,2015-11-21,2015-11-21,1,1.2,1.2,0,0,1
5222,2,2009-02-23,2013-05-10,2,1,2015-03-01,2015-03-01,1,1.3010752688172,1.27956989247312,1,2,2
5238,1,2009-09-01,2009-09-01,1,1,2015-12-18,2015-12-18,1,1.27049180327869,1.27049180327869,0,0,1
5258,1,2009-05-17,2009-05-17,1,1,2015-12-30,2015-12-30,1,1.36538461538462,1.34615384615385,0,0,1
5270,1,2009-10-07,2009-10-07,1,1,2015-12-20,2015-12-20,1,1.58720930232558,1.54651162790698,2,4,2
5295,1,2009-05-08,2009-05-08,1,1,2015-07-28,2015-07-28,1,1.1,1.1,0,0,1
5435,1,2009-05-04,2009-05-04,1,1,2014-01-02,2014-01-02,1,1.25,1.25,0,0,1
5441,1,2009-03-12,2009-03-12,1,1,2015-12-14,2015-12-14,1,1.15853658536585,1.15853658536585,0,0,1
5489,1,2009-04-27,2009-04-27,1,2,2015-10-29,2015-12-12,2,1.55982905982906,1.52136752136752,2,4,2
5552,1,2009-07-21,2009-07-21,1,5,2012-05-27,2015-10-25,5,2,1.88333333333333,2,4,2
5586,1,2009-04-13,2009-04-13,1,2,2013-09-30,2015-03-07,2,1.44117647058824,1.38235294117647,0,0,1
5754,1,2009-04-07,2009-04-07,1,1,2013-10-01,2013-10-01,1,2.4,2.3,0,0,1
5803,1,2009-04-23,2009-04-23,1,1,2015-12-25,2015-12-25,1,1.52066115702479,1.47933884297521,1,2,2
5818,2,2009-05-28,2013-04-22,2,1,2014-04-03,2014-04-03,1,1.32558139534884,1.32558139534884,0,0,1
5857,1,2009-04-18,2009-04-18,1,1,2015-12-30,2015-12-30,1,1.37313432835821,1.37313432835821,0,0,1
5862,1,2009-08-06,2009-08-06,1,1,2014-12-31,2014-12-31,1,1.06451612903226,1.06451612903226,0,0,1
5945,1,2009-09-11,2009-09-11,1,2,2015-10-22,2015-10-27,2,1.796875,1.703125,2,3,3
5947,1,2010-02-15,2010-02-15,1,1,2015-12-29,2015-12-29,1,1.4041095890411,1.3972602739726,0,0,1
6011,4,2009-05-23,2014-09-06,2,1,2015-10-17,2015-10-17,1,1.41463414634146,1.38211382113821,1,2,2
6090,1,2009-08-23,2009-08-23,1,1,2015-08-31,2015-08-31,1,1.4,1.4,0,0,1
6103,1,2011-10-24,2011-10-24,1,1,2015-10-04,2015-10-04,1,1.42857142857143,1.42857142857143,0,0,1
6111,1,2009-05-22,2009-05-22,1,1,2015-10-26,2015-10-26,1,1.32291666666667,1.29166666666667,1,2,2
6118,1,2009-04-13,2009-04-13,1,1,2009-09-15,2009-09-15,1,1,1,0,0,1
